Forecast_ID,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Category,Requirement_Title,Estimated_Value,Priority_Level,Status,Contract_Type,Anticipated_Set_Aside,Recompete,Incumbent_Contractor,Planned_Award_Quarter,Predicted_Days_to_Award,Predicted_Award_Amount,Predicted_Protest_Probability,Oversight_Probability,Composite_Risk_Score
FCST-000023,2026,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 6,Food Service,Food Service Requirement - VISN 7 Medical Center North FY2026,733293.23,Medium,Planning,Firm Fixed Price,VOSB,Yes,Horizon Enterprises,FY Q1,79.0,745070.0,0.166,0.011,28.6
FCST-000024,2027,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 7,Professional Services,Professional Services Requirement - VISN 13 Medical Center North FY2027,203572.73,Low,Market Research,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,99.0,207143.0,0.374,0.06,38.6
FCST-000025,2026,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 6,Food Service,Food Service Requirement - VISN 2 Medical Center Main FY2026,308814.57,High,Market Research,IDIQ,Full and Open (No Set-Aside),Yes,Sterling Partners,FY Q2,98.0,332782.0,0.108,0.171,32.8
FCST-000026,2028,9,VISN 9 Medical Center North,Network Contracting Office (NCO) 8,IT Services,IT Services Requirement - VISN 9 Medical Center North FY2028,644876.72,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,97.0,655947.0,0.193,0.313,38.2
FCST-000027,2027,9,VISN 9 Medical Center Main,Network Contracting Office (NCO) 4,Medical Equipment,Medical Equipment Requirement - VISN 9 Medical Center Main FY2027,314853.96,Medium,Planning,Firm Fixed Price,VOSB,Yes,Guardian Industries,FY Q1,75.0,314610.0,0.304,0.002,26.6
FCST-000028,2026,12,VISN 12 Medical Center Main,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center Main FY2026,1362560.23,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Beacon Associates,FY Q3,102.0,1.372311e+06,0.544,0.532,54.6
FCST-000029,2027,4,VISN 4 Medical Center South,Network Contracting Office (NCO) 10,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 4 Medical Center South FY2027,184598.21,Low,Market Research,Firm Fixed Price,WOSB,No,,FY Q2,76.0,183271.0,0.118,0.001,18.4
FCST-000030,2026,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 15,Food Service,Food Service Requirement - VISN 2 Medical Center North FY2026,377461.4,Medium,Market Research,Blanket Purchase Agreement (BPA),Small Business,No,,FY Q2,76.0,378869.0,0.128,0.005,22.7
FCST-000031,2027,6,VISN 6 Medical Center Main,Network Contracting Office (NCO) 7,Security Services,Security Services Requirement - VISN 6 Medical Center Main FY2027,301009.37,Medium,Market Research,Cost Plus Fixed Fee,8(a),Yes,Vertex Technologies,FY Q1,75.0,310847.0,0.392,0.001,29.1
FCST-000032,2027,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 8,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 1 Medical Center North FY2027,529716.83,Low,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,96.0,555098.0,0.343,0.21,41.3
FCST-000033,2026,3,VISN 3 Medical Center South,National Acquisition Center (NAC),IT Services,IT Services Requirement - VISN 3 Medical Center South FY2026,396062.65,Medium,Market Research,Time and Materials,HUBZone,No,,FY Q4,76.0,417737.0,0.107,0.003,22.2
FCST-000034,2028,5,VISN 5 Medical Center North,Technology Acquisition Center (TAC),Medical Equipment,Medical Equipment Requirement - VISN 5 Medical Center North FY2028,468020.98,Medium,Market Research,Firm Fixed Price,SDVOSB,Yes,Beacon Enterprises,FY Q2,75.0,465845.0,0.324,0.003,29.0
FCST-000035,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 14,IT Services,IT Services Requirement - VISN 10 Medical Center North FY2027,568582.89,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q1,98.0,625084.0,0.193,0.273,38.2
FCST-000036,2026,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 16,Professional Services,Professional Services Requirement - VISN 2 Medical Center Main FY2026,151739.51,Low,Draft Solicitation,Firm Fixed Price,HUBZone,Yes,Atlas Inc.,FY Q4,76.0,153704.0,0.189,0.001,20.0
FCST-000037,2027,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 1,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 18 Medical Center South FY2027,153937.47,High,Planning,IDIQ,VOSB,Yes,Atlas Industries,FY Q2,77.0,149741.0,0.353,0.0,25.2
FCST-000038,2028,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 16,Facilities Management,Facilities Management Requirement - VISN 10 Medical Center Main FY2028,440862.68,High,Solicitation Released,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q2,97.0,485263.0,0.144,0.171,34.9
FCST-000039,2026,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 8,Pharmaceuticals,Pharmaceuticals Requirement - VISN 12 Medical Center Main FY2026,317229.22,Low,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,99.0,330367.0,0.279,0.079,38.2
FCST-000040,2028,17,VISN 17 Medical Center South,Network Contracting Office (NCO) 4,Medical Equipment,Medical Equipment Requirement - VISN 17 Medical Center South FY2028,1940218.36,High,Market Research,Cost Plus Fixed Fee,Small Business,No,,FY Q4,86.0,1.875225e+06,0.228,0.019,38.8
FCST-000041,2026,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 4,Food Service,Food Service Requirement - VISN 16 Medical Center South FY2026,249061.5,High,Solicitation Released,Firm Fixed Price,VOSB,Yes,Frontier Group,FY Q3,77.0,249415.0,0.216,0.002,23.4
FCST-000042,2026,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 14,Professional Services,Professional Services Requirement - VISN 10 Medical Center Main FY2026,1161208.92,Critical,Market Research,Firm Fixed Price,SDVOSB,Yes,Vertex Consulting,FY Q4,81.0,1.141567e+06,0.344,0.013,36.9
FCST-000043,2026,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 11,Security Services,Security Services Requirement - VISN 7 Medical Center North FY2026,1146599.03,High,Draft Solicitation,Time and Materials,Small Business,Yes,Pinnacle Industries,FY Q4,81.0,1.104732e+06,0.226,0.014,33.3
FCST-000044,2026,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 14,Facilities Management,Facilities Management Requirement - VISN 5 Medical Center South FY2026,1293654.93,Low,Draft Solicitation,Firm Fixed Price,8(a),Yes,Apex Group,FY Q4,77.0,1.295422e+06,0.196,0.011,31.5
FCST-000045,2027,13,VISN 13 Medical Center North,Denver Acquisition and Logistics Center (DALC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2027,235881.14,High,On Hold,Cost Plus Fixed Fee,VOSB,Yes,Cornerstone Group,FY Q3,76.0,242165.0,0.381,0.001,27.9
FCST-000046,2026,6,VISN 6 Medical Center North,Denver Acquisition and Logistics Center (DALC),IT Services,IT Services Requirement - VISN 6 Medical Center North FY2026,2451392.52,Medium,Draft Solicitation,Firm Fixed Price,VOSB,No,,FY Q1,87.0,2.289376e+06,0.12,0.043,36.8
FCST-000047,2027,6,VISN 6 Medical Center North,SAO East,Professional Services,Professional Services Requirement - VISN 6 Medical Center North FY2027,107579.56,Medium,Market Research,Firm Fixed Price,HUBZone,No,,FY Q1,73.0,108157.0,0.156,0.0,15.6
FCST-000048,2028,3,VISN 3 Medical Center Main,Network Contracting Office (NCO) 13,Construction,Construction Requirement - VISN 3 Medical Center Main FY2028,3748544.57,Medium,Planning,Time and Materials,SDVOSB,Yes,Vertex Consulting,FY Q2,92.0,3.536231e+06,0.084,0.084,40.6
FCST-000049,2028,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 15,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center North FY2028,215673.08,Low,Solicitation Released,Time and Materials,Full and Open (No Set-Aside),No,,FY Q3,98.0,213605.0,0.436,0.068,40.2
FCST-000050,2027,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 8,Pharmaceuticals,Pharmaceuticals Requirement - VISN 3 Medical Center North FY2027,1904559.84,High,Draft Solicitation,Firm Fixed Price,SDVOSB,Yes,Anchor Systems,FY Q4,86.0,1.847263e+06,0.142,0.019,35.8
FCST-000051,2027,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 14,Food Service,Food Service Requirement - VISN 10 Medical Center Main FY2027,238624.39,Medium,Draft Solicitation,Time and Materials,SDVOSB,No,,FY Q3,77.0,241016.0,0.26,0.002,24.7
FCST-000052,2027,1,VISN 1 Medical Center North,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 1 Medical Center North FY2027,4339034.74,High,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Anchor Solutions,FY Q4,113.0,4.167247e+06,0.119,0.871,53.3
FCST-000053,2028,3,VISN 3 Medical Center Main,National Acquisition Center (NAC),Security Services,Security Services Requirement - VISN 3 Medical Center Main FY2028,50916.42,Medium,Planning,Firm Fixed Price,Small Business,Yes,Keystone Consulting,FY Q2,80.0,47964.0,0.031,0.0,11.3
FCST-000054,2026,11,VISN 11 Medical Center North,SAO West,Facilities Management,Facilities Management Requirement - VISN 11 Medical Center North FY2026,144705.21,Medium,Market Research,IDIQ,SDVOSB,Yes,Atlas Enterprises,FY Q4,75.0,141189.0,0.274,0.0,21.5
FCST-000055,2027,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 18,Pharmaceuticals,Pharmaceuticals Requirement - VISN 5 Medical Center South FY2027,294467.51,Low,Planning,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),No,,FY Q4,98.0,321246.0,0.196,0.097,35.1
FCST-000056,2027,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 4,Medical Equipment,Medical Equipment Requirement - VISN 10 Medical Center North FY2027,68974.45,High,Market Research,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Apex Enterprises,FY Q2,81.0,69738.0,0.045,0.0,14.0
FCST-000057,2027,5,VISN 5 Medical Center North,SAO East,Pharmaceuticals,Pharmaceuticals Requirement - VISN 5 Medical Center North FY2027,3138567.07,Medium,On Hold,Time and Materials,Small Business,No,,FY Q4,96.0,3.14668e+06,0.028,0.043,40.4
FCST-000058,2027,5,VISN 5 Medical Center North,National Acquisition Center (NAC),Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center North FY2027,492497.17,High,Planning,Firm Fixed Price,Small Business,Yes,Meridian Associates,FY Q1,75.0,505628.0,0.361,0.003,30.7
FCST-000059,2028,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 15,Pharmaceuticals,Pharmaceuticals Requirement - VISN 4 Medical Center North FY2028,772300.85,Critical,Planning,Labor Hour,HUBZone,Yes,Guardian Solutions,FY Q4,81.0,799542.0,0.175,0.007,30.2
FCST-000060,2026,3,VISN 3 Medical Center North,Network Contracting Office (NCO) 16,Pharmaceuticals,Pharmaceuticals Requirement - VISN 3 Medical Center North FY2026,394032.88,Medium,Draft Solicitation,Firm Fixed Price,WOSB,No,,FY Q1,75.0,399780.0,0.103,0.002,21.5
FCST-000061,2027,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 9,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 13 Medical Center North FY2027,963573.7,Medium,Planning,Cost Plus Fixed Fee,Full and Open (No Set-Aside),No,,FY Q3,101.0,1.001197e+06,0.491,0.327,50.9
FCST-000062,2027,1,VISN 1 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Medical Equipment,Medical Equipment Requirement - VISN 1 Medical Center Main FY2027,400033.76,Medium,On Hold,Firm Fixed Price,SDVOSB,No,,FY Q2,75.0,398147.0,0.305,0.002,27.7
FCST-000063,2026,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 15 Medical Center Main FY2026,2838699.95,Low,Market Research,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Yes,Precision Partners,FY Q4,111.0,2.662011e+06,0.139,0.815,50.5
FCST-000064,2026,4,VISN 4 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,IT Services,IT Services Requirement - VISN 4 Medical Center North FY2026,197259.12,High,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Apex Systems,FY Q4,96.0,203912.0,0.292,0.069,34.3
FCST-000065,2026,2,VISN 2 Medical Center North,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 2 Medical Center North FY2026,884808.85,Medium,Market Research,Cost Plus Fixed Fee,8(a),No,,FY Q4,80.0,866051.0,0.188,0.005,30.4
FCST-000066,2028,17,VISN 17 Medical Center East,Network Contracting Office (NCO) 9,Food Service,Food Service Requirement - VISN 17 Medical Center East FY2028,260352.0,High,Market Research,IDIQ,Full and Open (No Set-Aside),No,,FY Q4,98.0,271478.0,0.111,0.137,31.8
FCST-000067,2027,12,VISN 12 Medical Center North,SAO West,Professional Services,Professional Services Requirement - VISN 12 Medical Center North FY2027,291203.82,Medium,Draft Solicitation,IDIQ,VOSB,No,,FY Q1,76.0,316400.0,0.303,0.001,26.8
FCST-000068,2027,3,VISN 3 Medical Center South,Denver Acquisition and Logistics Center (DALC),Facilities Management,Facilities Management Requirement - VISN 3 Medical Center South FY2027,357914.77,Medium,Solicitation Released,IDIQ,Full and Open (No Set-Aside),No,,FY Q3,97.0,356216.0,0.19,0.097,34.6
FCST-000069,2027,5,VISN 5 Medical Center North,Network Contracting Office (NCO) 3,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center North FY2027,1969004.51,Medium,Draft Solicitation,Firm Fixed Price,SDVOSB,Yes,Atlas Solutions,FY Q3,84.0,1.796271e+06,0.187,0.025,36.0
FCST-000070,2026,9,VISN 9 Medical Center South,Network Contracting Office (NCO) 4,Medical Equipment,Medical Equipment Requirement - VISN 9 Medical Center South FY2026,376207.25,High,Draft Solicitation,Firm Fixed Price,HUBZone,No,,FY Q2,75.0,371786.0,0.158,0.002,23.0
FCST-000071,2028,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 4,Pharmaceuticals,Pharmaceuticals Requirement - VISN 4 Medical Center North FY2028,2826853.98,High,Draft Solicitation,IDIQ,Full and Open (No Set-Aside),Yes,Unity Partners,FY Q4,113.0,2.633242e+06,0.074,0.714,49.6
FCST-000072,2028,18,VISN 18 Medical Center Main,SAO East,Medical Equipment,Medical Equipment Requirement - VISN 18 Medical Center Main FY2028,620457.87,Medium,Market Research,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Frontier Enterprises,FY Q3,96.0,649956.0,0.304,0.266,40.9
FCST-000073,2026,4,VISN 4 Medical Center Main,SAO West,IT Services,IT Services Requirement - VISN 4 Medical Center Main FY2026,1614068.99,Medium,Market Research,IDIQ,SDVOSB,No,,FY Q1,81.0,1.643432e+06,0.348,0.021,39.2
FCST-000074,2028,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 11,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 12 Medical Center Main FY2028,375527.11,Medium,Market Research,Cost Plus Fixed Fee,SDVOSB,No,,FY Q3,76.0,367418.0,0.333,0.001,28.4
FCST-000075,2026,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 8,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 18 Medical Center North FY2026,72667.4,Medium,Planning,Time and Materials,SDVOSB,Yes,Guardian Enterprises,FY Q1,78.0,72306.0,0.437,0.0,24.6
FCST-000076,2028,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 2,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 14 Medical Center South FY2028,1586303.25,High,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,102.0,1.548937e+06,0.498,0.589,53.8
FCST-000077,2026,9,VISN 9 Medical Center Main,Network Contracting Office (NCO) 3,Facilities Management,Facilities Management Requirement - VISN 9 Medical Center Main FY2026,88874.24,Medium,Draft Solicitation,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q3,99.0,89374.0,0.286,0.014,31.7
FCST-000078,2026,18,VISN 18 Medical Center Main,SAO East,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 18 Medical Center Main FY2026,1111254.89,Medium,Market Research,Firm Fixed Price,HUBZone,Yes,Cornerstone Partners,FY Q4,80.0,1.124142e+06,0.263,0.01,34.3
FCST-000079,2027,1,VISN 1 Medical Center Main,SAO West,IT Services,IT Services Requirement - VISN 1 Medical Center Main FY2027,907614.69,Medium,Planning,Firm Fixed Price,Small Business,Yes,Frontier Federal Services,FY Q1,79.0,898369.0,0.133,0.01,28.7
FCST-000080,2028,10,VISN 10 Medical Center North,Denver Acquisition and Logistics Center (DALC),IT Services,IT Services Requirement - VISN 10 Medical Center North FY2028,1083374.49,High,Planning,Time and Materials,HUBZone,Yes,Precision Technologies,FY Q3,80.0,1.149691e+06,0.101,0.014,29.2
FCST-000081,2027,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 14,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 15 Medical Center Main FY2027,197747.21,Critical,Planning,Firm Fixed Price,Full and Open (No Set-Aside),Yes,Pinnacle Inc.,FY Q3,98.0,209725.0,0.407,0.055,39.3
FCST-000082,2028,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 3,Professional Services,Professional Services Requirement - VISN 12 Medical Center North FY2028,316037.79,Medium,Planning,Cost Plus Fixed Fee,8(a),No,,FY Q1,76.0,324440.0,0.364,0.001,28.8
FCST-000083,2026,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 2,Medical Equipment,Medical Equipment Requirement - VISN 12 Medical Center Main FY2026,586902.33,Low,Planning,Firm Fixed Price,8(a),Yes,Guardian Systems,FY Q1,76.0,592382.0,0.323,0.004,30.5
FCST-000084,2027,6,VISN 6 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,Security Services,Security Services Requirement - VISN 6 Medical Center South FY2027,194147.57,Low,Market Research,Firm Fixed Price,VOSB,Yes,Anchor Solutions,FY Q2,74.0,187383.0,0.234,0.001,21.1
FCST-000085,2027,3,VISN 3 Medical Center East,Denver Acquisition and Logistics Center (DALC),IT Services,IT Services Requirement - VISN 3 Medical Center East FY2027,1395928.19,High,Draft Solicitation,Time and Materials,Full and Open (No Set-Aside),Yes,Summit Partners,FY Q3,103.0,1.449559e+06,0.194,0.62,44.9
FCST-000086,2027,17,VISN 17 Medical Center South,Network Contracting Office (NCO) 4,Medical Equipment,Medical Equipment Requirement - VISN 17 Medical Center South FY2027,928234.7,Low,Solicitation Released,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,100.0,943801.0,0.251,0.403,43.0
FCST-000087,2026,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 13,Facilities Management,Facilities Management Requirement - VISN 8 Medical Center Main FY2026,1492244.79,Medium,Market Research,IDIQ,Small Business,No,,FY Q3,80.0,1.443782e+06,0.38,0.012,38.9
FCST-000088,2027,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 8,Professional Services,Professional Services Requirement - VISN 12 Medical Center Main FY2027,50360.21,High,Planning,IDIQ,SDVOSB,No,,FY Q2,87.0,49313.0,0.083,0.0,16.3
FCST-000089,2026,8,VISN 8 Medical Center North,Technology Acquisition Center (TAC),IT Services,IT Services Requirement - VISN 8 Medical Center North FY2026,1013451.89,Medium,Planning,Firm Fixed Price,Full and Open (No Set-Aside),No,,FY Q4,101.0,1.069447e+06,0.24,0.477,44.0
FCST-000090,2028,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 12,Facilities Management,Facilities Management Requirement - VISN 8 Medical Center Main FY2028,316757.36,Medium,Solicitation Released,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Yes,Unity Inc.,FY Q4,96.0,331899.0,0.203,0.067,34.6
FCST-000091,2028,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 5,Facilities Management,Facilities Management Requirement - VISN 13 Medical Center South FY2028,154687.59,Medium,Planning,Firm Fixed Price,8(a),Yes,Patriot Solutions,FY Q1,74.0,149447.0,0.318,0.0,22.8
FCST-000092,2028,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 14,Construction,Construction Requirement - VISN 2 Medical Center North FY2028,2548563.36,High,Draft Solicitation,Blanket Purchase Agreement (BPA),SDVOSB,Yes,Sterling Enterprises,FY Q3,86.0,2.430212e+06,0.127,0.055,36.8
FCST-000093,2026,5,VISN 5 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Medical/Clinical Services,Medical/Clinical Services Requirement - VISN 5 Medical Center Main FY2026,236085.02,Medium,Market Research,Cost Plus Fixed Fee,Small Business,Yes,Vanguard Consulting,FY Q4,76.0,240529.0,0.388,0.001,28.3
